filename	label	latitude	longitude	width	stddeviations
auto	2016-10-29 00:00:00.0	41.875	-87.9375	0.0625	-1.71003
auto	2016-10-04 00:00:00.0	42.3125	-89	0.0625	1.01396
auto	2016-10-05 00:00:00.0	41.875	-87.9375	0.0625	-0.64303
auto	2016-10-20 00:00:00.0	41.8125	-88.1875	0.0625	0.09645
auto	2016-10-08 00:00:00.0	40.75	-86.375	0.0625	-1.9401
auto	2016-10-01 00:00:00.0	40.4375	-86.8125	0.0625	-0.99721
auto	2016-10-08 00:00:00.0	42.6875	-87.9375	0.0625	0.77848
auto	2016-10-26 00:00:00.0	40.9375	-87.125	0.0625	0.57215
auto	2016-10-24 00:00:00.0	42.6875	-87.9375	0.0625	-1.53865
auto	2016-10-25 00:00:00.0	41.5	-87.3125	0.0625	0.69042
auto	2016-11-01 00:00:00.0	42.6875	-87.9375	0.0625	0.98913
auto	2016-11-02 00:00:00.0	41.5	-87.3125	0.0625	-0.49789
auto	2016-10-01 00:00:00.0	41.6875	-86	0.0625	-1.10891
auto	2016-10-09 00:00:00.0	41.625	-87.6875	0.0625	0.98565
auto	2016-10-12 00:00:00.0	40.5	-86.125	0.0625	-0.98748
auto	2016-10-19 00:00:00.0	41.5	-87.75	0.0625	-1.75054
auto	2016-10-23 00:00:00.0	41.75	-87.6875	0.0625	-0.89581
auto	2016-10-27 00:00:00.0	41.5	-87.75	0.0625	-0.59569
auto	2016-10-28 00:00:00.0	40.5	-86.125	0.0625	-1.21923
auto	2016-10-07 00:00:00.0	41.75	-87.6875	0.0625	0.35773
auto	2016-10-20 00:00:00.0	40.5	-86.125	0.0625	-1.10335
auto	2016-10-11 00:00:00.0	41.5	-87.75	0.0625	-0.67967
auto	2016-10-15 00:00:00.0	41.75	-87.6875	0.0625	-1.4428
auto	2016-10-25 00:00:00.0	40.875	-88.625	0.0625	-0.87246
auto	2016-10-27 00:00:00.0	41.625	-87.0625	0.0625	-1.7145
auto	2016-10-13 00:00:00.0	41.6875	-86.3125	0.0625	0.02186
auto	2016-10-05 00:00:00.0	41.6875	-86.3125	0.0625	0.05188
auto	2016-10-15 00:00:00.0	42.625	-88.625	0.0625	-1.2143
auto	2016-10-04 00:00:00.0	42.0625	-88	0.0625	-0.00493
auto	2016-10-28 00:00:00.0	42.0625	-88	0.0625	-1.98704
auto	2016-11-04 00:00:00.0	41.8125	-86.75	0.0625	-1.52779
auto	2016-10-24 00:00:00.0	42.3125	-88.4375	0.0625	-1.84885
auto	2016-10-23 00:00:00.0	42.0625	-86.5	0.0625	-1.38045
auto	2016-10-18 00:00:00.0	41.875	-88	0.0625	0.75564
auto	2016-11-04 00:00:00.0	41.375	-88.875	0.0625	-0.84234
auto	2016-10-26 00:00:00.0	41.875	-88	0.0625	-0.15876
auto	2016-11-02 00:00:00.0	41.9375	-87.6875	0.0625	0.04169
auto	2016-10-03 00:00:00.0	41.375	-88.4375	0.0625	0.28391
auto	2016-10-02 00:00:00.0	42.75	-86.125	0.0625	-1.01125
auto	2016-10-05 00:00:00.0	42.0625	-87.6875	0.0625	-0.63254
auto	2016-10-23 00:00:00.0	41.5	-87.0625	0.0625	2.90272
auto	2016-10-02 00:00:00.0	41.375	-86.3125	0.0625	0.30056
auto	2016-10-15 00:00:00.0	42.0625	-86.5	0.0625	-1.00964
auto	2016-10-10 00:00:00.0	41.875	-88	0.0625	0.58265
auto	2016-10-28 00:00:00.0	42.0625	-86.5	0.0625	-1.47315
auto	2016-10-26 00:00:00.0	41.9375	-87.6875	0.0625	0.08846
auto	2016-10-08 00:00:00.0	41.375	-88.4375	0.0625	0.43907
auto	2016-10-06 00:00:00.0	42.0625	-87.6875	0.0625	-1.49573
auto	2016-10-09 00:00:00.0	42.75	-86.125	0.0625	0.41706
auto	2016-10-04 00:00:00.0	41.5	-87.0625	0.0625	2.52515
auto	2016-10-20 00:00:00.0	42.0625	-86.5	0.0625	-1.90576
auto	2016-10-25 00:00:00.0	41.375	-86.3125	0.0625	1.55269
auto	2016-10-14 00:00:00.0	42.0625	-87.6875	0.0625	-0.7764
auto	2016-10-28 00:00:00.0	41.5	-87.0625	0.0625	-0.95389
auto	2016-10-17 00:00:00.0	41.875	-88	0.0625	0.08838
auto	2016-10-17 00:00:00.0	41.375	-86.3125	0.0625	-0.87332
auto	2016-10-24 00:00:00.0	41.375	-88.4375	0.0625	-0.10401
auto	2016-10-25 00:00:00.0	42.75	-86.125	0.0625	-1.30341
auto	2016-10-22 00:00:00.0	42.0625	-87.6875	0.0625	-0.59657
auto	2016-10-04 00:00:00.0	42.0625	-86.5	0.0625	0.25728
auto	2016-10-02 00:00:00.0	41.9375	-87.6875	0.0625	-1.26798
auto	2016-11-02 00:00:00.0	42.75	-86.125	0.0625	-2.11496
auto	2016-10-12 00:00:00.0	42.625	-88.625	0.0625	0.59263
auto	2016-10-06 00:00:00.0	41.6875	-86.3125	0.0625	-0.62348
